index,LotArea,YearBuilt,TotalBsmtSF,1stFlrSF,2ndFlrSF,MiscVal,GarageCars,Fireplaces,BedroomAbvGr,SalePrice
438,4280,1913,440,694,0,0,1,1,2,90350
439,12354,1920,684,684,512,800,2,0,3,110000
442,6240,1930,1078,1128,445,0,2,1,3,162900
446,16492,1966,1517,1888,0,0,2,1,2,190000
448,8600,1937,780,780,596,0,1,1,3,119500
449,6000,1948,649,679,504,0,1,0,2,120000
450,5684,1930,813,813,0,0,1,0,2,110000
455,9600,1973,1242,1242,0,0,2,1,3,175500
458,5100,1925,588,833,833,0,1,1,3,161000
461,7200,1936,560,575,560,0,2,0,3,155000
463,11988,1934,715,849,811,0,1,1,3,188700
467,9480,1942,728,888,756,0,1,2,3,146500
471,11952,1977,808,1161,808,0,2,1,3,190000
475,8480,1963,970,970,0,0,2,0,2,132500
479,5925,1937,907,1131,0,0,2,0,2,89471
482,2500,1915,910,916,910,0,1,1,4,155000
484,7758,1962,999,999,0,0,1,0,3,132500
485,9600,1950,1113,1113,0,0,1,1,3,147000
486,10289,1965,1073,1073,0,0,2,0,3,156000
487,12243,1971,1484,1484,0,0,2,1,3,175000
489,1526,1970,630,630,0,0,1,0,1,86000
490,2665,1976,264,616,688,0,1,1,3,115000
491,9490,1941,806,958,620,0,1,2,3,133000
493,7931,1960,1269,1269,0,0,1,1,3,155000
494,5784,1938,190,886,0,0,1,0,2,91300
497,9120,1925,1026,1133,687,0,1,0,4,184000
498,7800,1967,864,899,0,0,1,0,3,130000
499,7535,1958,912,912,0,480,1,0,2,120000
502,9170,1965,1214,1214,0,400,2,0,2,140000
508,9600,1928,689,689,689,0,2,1,3,161000
509,9600,1959,1041,1041,0,0,1,0,3,124500
510,14559,1951,1008,1363,0,2000,1,2,2,164900
516,10448,1972,689,1378,741,0,2,1,3,158000
519,10918,1926,1276,1276,804,0,1,2,3,234000
520,10800,1900,0,694,600,0,0,0,3,106250
521,11988,1957,1244,1244,0,0,1,2,3,150000
522,5000,1947,1004,1004,660,0,2,2,3,159000
526,13300,1956,928,928,0,0,1,0,2,132000
528,9098,1920,528,605,0,0,0,0,2,86000
531,6155,1920,611,751,611,0,2,0,3,128000
532,7200,1955,0,827,0,0,1,1,2,107500
535,7000,1910,1117,820,527,0,0,0,3,107500
546,8737,1923,1065,915,720,0,2,1,3,210000
547,7244,1970,768,768,0,0,2,0,2,129500
548,8235,1955,825,825,0,0,2,0,2,125000
550,4043,1977,1069,1069,0,0,2,0,2,140000
551,6000,1957,928,928,0,0,1,0,3,112500
555,6380,1922,993,1048,0,0,1,1,2,113000
560,11341,1957,1392,1392,0,0,2,1,3,121500
562,13907,1940,996,996,0,0,0,1,3,108000
563,21780,1918,1163,1163,511,0,2,1,4,185000
571,7332,1959,864,864,0,0,1,0,2,120000
574,10500,1971,372,576,533,0,1,0,3,139000
576,6292,1928,861,877,600,0,1,1,3,145000
577,11777,1966,1164,1320,0,0,2,2,3,164500
580,14585,1960,1144,1429,0,0,2,2,3,181900
584,6120,1935,884,989,584,0,1,0,3,133000
586,10267,1918,816,838,0,0,1,0,2,130000
587,8740,1982,840,860,0,0,2,0,2,137000
588,25095,1968,1437,1473,0,0,1,2,1,143000
589,9100,1930,742,779,0,600,1,0,2,79500
592,6600,1982,816,816,0,0,2,0,2,138000
594,7990,1975,924,924,0,0,1,0,3,110000
596,3600,1910,684,684,684,0,1,0,3,114504
598,12984,1977,1430,1647,0,0,2,1,3,217500
599,1950,1980,716,716,840,0,2,1,3,151000
601,9000,1937,780,780,595,0,1,1,3,141000
605,13600,1965,768,1186,800,0,2,3,3,205000
607,7800,1948,896,1112,896,0,1,0,3,225000
611,10395,1978,1032,1032,0,500,2,1,3,148000
614,1491,1972,630,630,0,0,0,0,1,75500
615,8800,1963,936,1054,0,0,2,0,3,137500
617,7227,1954,832,832,0,0,2,0,2,105500
621,10800,1974,1522,1548,1066,0,2,1,4,240000
622,7064,1977,980,980,0,0,2,0,3,135000
625,10000,1962,1116,1116,0,0,2,0,3,160000
627,9600,1955,1156,1520,0,0,1,2,3,153000
630,9000,1880,636,1089,661,0,1,0,3,124000
633,9250,1954,1056,1056,0,0,1,0,3,139400
635,10896,1914,1440,1440,1440,0,0,0,8,200000
638,8777,1910,796,796,0,0,0,0,2,85000
649,1936,1970,630,630,0,0,0,0,1,84500
653,10320,1906,756,756,713,0,1,0,3,135000
656,10007,1959,1053,1053,0,0,1,0,3,145500
657,7200,1931,776,851,651,0,1,1,3,149000
659,9937,1964,1486,1486,0,0,2,0,3,167000
660,12384,1976,793,1142,793,0,2,1,3,197900
668,14175,1956,1188,1437,0,0,2,1,3,168000
671,6629,1925,672,697,672,0,1,0,3,103600
672,11250,1977,1208,1208,0,0,2,1,3,165000
674,9200,1965,1136,1136,0,0,1,1,3,140000
675,2289,1978,855,855,586,0,2,1,3,148500
677,9022,1924,768,792,0,0,1,0,2,109500
693,5400,1921,1073,1073,0,0,1,0,2,108480
694,6120,1936,927,1067,472,0,2,0,3,141500
695,13811,1987,1112,1137,0,0,2,1,2,176000
696,6000,1921,616,616,0,0,1,0,2,89000
697,6420,1952,980,1148,0,0,1,0,2,123500
698,8450,1965,894,894,0,0,1,1,3,138500
703,7630,1900,360,1032,780,0,2,1,4,140000
709,7162,1966,876,904,0,0,1,0,3,109900
710,4130,1935,270,729,0,0,0,0,2,52000
714,13517,1976,725,725,754,0,2,0,3,130500
716,10800,1890,718,1576,978,0,2,0,3,159500
717,10000,1973,1176,1178,0,0,2,1,3,157000
719,9920,1969,971,971,0,0,1,1,3,128500
722,8120,1970,864,864,0,0,2,0,3,124500
723,8172,1954,941,997,473,0,1,0,4,135000
725,6960,1970,864,864,0,500,2,0,3,120500
726,21695,1988,880,1680,0,0,2,1,3,222000
733,10000,1961,864,1144,0,400,1,1,3,131400
735,10800,1914,880,880,888,0,2,2,2,163000
740,9600,1910,264,768,664,0,2,0,2,132000
741,6768,1961,912,912,0,0,1,0,3,142000
743,12886,1963,520,1464,0,0,2,1,3,175000
750,8800,1910,576,792,348,0,0,0,3,96500
754,7930,1969,1026,1026,0,0,2,0,3,156000
760,9100,1959,864,864,0,450,1,0,2,127500
767,12508,1940,983,983,767,1300,1,0,4,160000
783,9101,1978,1097,1110,0,0,2,1,1,165500
784,6300,1914,742,742,742,0,0,1,3,128000
786,10800,1915,686,966,686,1200,1,0,4,139000
788,6000,1954,901,901,0,0,1,0,2,107900
789,12205,1966,832,976,1111,0,2,0,5,187500
795,8400,1980,650,888,676,0,2,1,3,171000
799,7200,1937,731,981,787,0,1,2,3,175000
801,4800,1916,1196,1196,0,0,2,0,2,109900
807,21384,1923,1324,1072,504,0,2,1,3,223500
810,10140,1974,1040,1309,0,0,2,1,3,181000
813,9750,1958,1442,1442,0,500,1,0,4,157900
814,8248,1918,686,686,564,0,1,0,3,116000
816,11425,1954,1008,1008,0,0,1,1,2,137000
818,8816,1971,1010,1052,0,0,2,0,3,155000
823,9900,1940,778,944,545,0,1,1,3,139500
826,6130,1924,784,784,0,0,0,0,2,109500
832,9548,2003,941,941,888,0,2,1,3,237000
833,10004,1964,1516,1516,0,0,2,0,3,167000
834,7875,1961,1144,1144,0,0,2,0,3,139950
835,9600,1950,1067,1067,0,0,2,0,2,128000
836,8100,1948,1559,1559,0,0,2,0,2,153500
838,9525,1995,1099,1099,0,0,1,0,3,144000
839,11767,1946,768,768,432,0,1,0,3,130500
840,12155,1925,672,810,672,0,1,0,4,140000
841,10440,1904,650,958,581,0,2,1,3,157500
842,9020,1966,1127,1165,0,0,2,0,3,174900
844,12665,1915,876,876,540,0,3,1,4,153900
847,15523,1972,864,864,0,0,1,1,3,133500
848,45600,1908,907,1307,1051,0,2,1,5,240000
849,9600,1976,528,1094,761,0,2,1,3,187000
853,12095,1964,1127,1445,0,0,2,1,3,158000
855,6897,1962,1040,1040,0,0,1,0,3,127000
856,10970,1978,940,1026,0,0,2,0,3,147000
859,11029,1968,1054,1512,1142,0,2,1,4,250000
860,7642,1918,912,912,514,0,1,1,3,189950
865,8750,1970,1002,1002,0,0,2,0,3,148500
868,14762,1948,0,1547,720,0,2,1,2,169000
872,8892,1953,105,910,0,0,2,0,3,116000
873,12144,1949,832,1036,0,0,1,1,3,133000
874,5720,1941,676,676,455,0,1,0,3,66500
878,11782,1961,1109,1155,0,400,2,0,3,148000
879,7000,1978,864,864,0,0,1,0,3,136500
887,16466,1955,816,872,521,0,1,0,3,135500
890,8064,1949,672,672,252,2000,2,1,3,122900
892,8414,1963,1059,1068,0,0,1,0,3,154500
896,8765,1936,951,951,0,0,1,0,2,106500
899,6993,1961,912,1236,0,0,1,1,3,135000
900,7340,1971,858,858,0,0,1,0,2,110000
901,8712,1957,992,1306,0,0,1,0,2,153000
904,6173,1967,876,902,0,0,1,0,3,125500
907,11500,1936,1017,1020,1037,0,1,1,3,250000
911,9286,1977,1268,1268,0,0,1,0,3,143500
912,6120,1925,768,1015,0,620,1,0,3,88000
913,6270,1949,1001,1001,1001,0,3,0,4,145000
917,17140,1956,1134,1229,0,0,1,0,3,135000
919,11029,1958,1184,1414,0,0,2,1,3,176500
921,8777,1900,1272,1272,928,0,0,0,4,145900
924,10240,1980,1686,1686,0,0,2,1,3,207500
925,15611,1977,1126,1126,0,0,2,0,3,175000
931,9100,1965,925,925,0,0,1,0,2,117500
934,27650,1960,585,2069,0,0,2,1,4,242000
939,24090,1940,1032,1207,1196,0,1,2,4,244400
944,14375,1958,819,1344,0,0,2,1,3,137500
945,8820,1890,1088,1188,561,0,2,0,2,124900
946,8163,1959,1144,1144,0,0,1,1,3,143000
949,9360,1972,1161,1381,0,0,2,1,3,197500
950,7200,1950,864,864,0,0,2,0,3,129000
952,7200,1972,768,768,0,0,1,0,2,133900
955,7136,1946,979,979,979,0,2,0,4,145000
956,1300,1980,561,561,668,0,2,1,2,124000
960,7207,1958,858,858,0,0,0,0,2,116500
962,2308,1976,804,804,744,0,2,1,3,155000
966,9600,1940,728,976,332,0,1,2,2,160000
967,7390,1955,1098,1098,0,0,1,0,3,135000
974,11414,1910,728,1136,883,0,2,0,3,167500
976,5900,1923,440,869,0,0,0,0,2,85500
979,8816,1963,1121,1121,0,0,2,0,3,139000
980,12122,1961,944,999,0,0,2,0,3,178400
986,5310,1910,485,1001,634,0,1,0,2,117000
988,12046,1976,848,1118,912,0,2,1,4,195000
991,17671,1882,916,916,826,0,2,1,4,168000
992,9760,1964,822,1020,831,0,2,1,3,187000
995,4712,1946,747,774,456,0,1,0,3,121600
996,10659,1961,1050,1050,0,0,1,0,3,136500
997,11717,1970,1442,1442,0,0,2,1,2,185000
1001,5400,1920,691,691,0,0,1,0,2,86000
1003,11500,1976,1680,1680,0,0,2,0,4,136905
1005,8385,1977,985,985,0,0,1,0,3,149900
1012,10592,1923,602,900,602,0,1,2,3,165000
1015,8400,2001,810,810,855,0,2,0,3,227000
1029,1680,1972,672,672,546,0,1,0,3,118000
1030,7082,1916,686,948,980,0,0,0,5,160000
1034,6305,1938,920,954,0,0,1,1,2,119750
1038,1533,1970,546,798,546,0,0,1,3,97000
1041,9130,1966,800,800,832,0,2,0,4,173000
1049,11100,1946,0,930,0,0,1,0,2,84900
1052,9500,1964,816,1127,850,0,2,1,4,165000
1053,8562,1957,1216,1526,0,0,1,1,4,144500
1057,29959,1994,973,979,871,0,2,1,3,248000
1059,11275,1932,854,1096,895,0,2,1,3,220000
1063,6000,1925,1103,1103,0,0,2,1,2,110500
1064,11000,1966,1154,1154,0,0,2,1,3,154000
1066,7837,1993,799,799,772,0,2,1,3,178000
1067,9760,1964,780,798,813,0,2,0,4,167900
1069,9600,1949,845,893,0,0,2,0,2,135000
1071,11700,1968,727,829,727,0,2,0,4,154000
1073,7950,1977,690,698,728,0,2,0,3,159500
1075,13125,1940,800,960,780,0,1,2,3,219500
1076,10800,1936,796,1096,370,500,2,1,3,170000
1080,11040,1971,1258,1258,0,0,2,0,3,145000
1083,8800,1964,1251,1251,0,700,1,2,3,160000
1085,9069,1992,936,996,0,0,2,0,2,147000
1093,9230,1965,864,1200,0,0,2,0,1,146000
1094,5868,1956,936,936,0,0,1,0,2,129000
1096,6882,1914,684,773,582,0,0,0,3,127000
1098,6000,1936,672,757,567,0,1,0,3,128000
1102,7000,1960,1010,1134,0,0,1,0,2,135000
1103,8910,1959,655,1194,0,0,2,1,3,159500
1111,10480,1976,803,1098,866,0,2,1,4,205000
1112,7100,1957,816,816,0,0,1,0,2,129900
1113,8923,1953,1008,1008,0,0,1,0,2,134500
1114,5400,1954,833,833,0,0,1,0,2,117000
1117,9764,1967,894,894,0,0,2,0,3,130000
1118,13825,1958,533,1021,580,0,1,0,3,140000
1123,9405,1947,698,698,0,0,0,0,2,118000
1137,6342,1875,780,780,240,0,0,0,2,94000
1140,7350,1951,952,952,0,0,2,0,2,139000
1141,10304,1976,780,1088,780,0,2,1,4,197500
1145,6240,1928,1042,1042,534,0,1,1,3,149000
1147,12000,1941,704,860,704,0,1,1,3,174500
1148,5700,1926,572,572,539,0,1,1,2,116900
1149,9000,1920,650,832,650,0,2,0,3,143000
1152,14115,1956,1073,1811,0,0,2,1,2,230000
1153,5890,1930,816,816,0,0,1,0,2,120500
1154,13700,1965,864,902,918,0,2,2,4,201800
1155,10768,1976,1437,1437,0,0,2,1,3,218000
1156,9350,1965,1219,1265,0,0,2,1,3,179900
1159,9120,1974,901,943,933,0,2,1,4,185000
1161,14778,1954,1296,1640,0,0,2,1,3,224000
1164,16157,1978,1360,1432,0,0,2,1,2,194000
1168,13728,1935,1127,1236,872,0,2,2,4,235000
1170,9880,1977,1096,1118,0,0,1,1,3,171000
1171,9120,1958,1261,1261,0,1400,2,1,3,163000
1173,18030,1946,1598,1636,971,0,0,1,3,200500
1174,16560,1932,952,1170,1175,0,2,1,4,239000
1177,3950,1926,818,818,406,0,1,0,3,115000
1178,7681,1921,731,820,523,0,1,1,3,154900
1183,10800,1920,1120,1130,0,0,2,1,2,120000
1185,9738,1924,784,949,272,0,1,0,4,104900
1192,9600,1925,702,842,630,0,1,0,3,125000
1194,9364,1969,663,663,689,0,1,0,4,158000
1197,8850,1916,815,815,875,0,1,1,3,144000
1202,6000,1925,884,884,464,0,1,1,3,117000
1204,10140,1975,1056,1074,0,0,2,0,3,153500
1208,7763,1962,931,1283,0,0,2,0,3,140000
1211,12134,1988,559,1080,672,0,2,0,4,164000
1212,9340,1941,672,672,0,0,1,0,2,113000
1213,10246,1965,648,960,0,0,1,0,0,145000
1222,10496,1949,1040,1168,678,0,1,1,3,143000
1225,10482,1958,588,1138,0,0,1,0,3,145000
1227,8872,1965,912,912,0,0,2,0,2,147000
1231,7728,1962,1106,1190,0,0,2,0,3,132500
1234,8525,1911,940,1024,940,0,0,0,4,130000
1241,9849,2007,1689,1689,0,0,3,0,3,248328
1242,10625,1974,1053,1173,0,0,2,2,3,170000
1244,11435,1929,792,792,725,0,2,2,3,230000
1245,12090,1984,585,1140,728,0,2,1,3,178000
1249,7200,1950,876,988,0,0,1,0,3,119000
1252,9858,1968,864,874,0,600,1,0,3,130000
1255,6240,1931,884,959,408,0,1,1,3,127500
1257,4060,1922,864,864,0,0,0,0,2,99900
1259,9750,1969,1054,1054,0,0,2,0,3,151000
1261,9600,1956,1050,1050,0,0,1,0,2,128900
1263,13515,1919,764,1060,764,0,2,1,3,180500
1271,9156,1968,1489,1489,0,0,2,1,3,185750
1272,13526,1965,935,935,0,0,1,0,3,137000
1273,11512,1959,1019,1357,0,0,1,1,2,177000
1274,5362,1910,661,661,589,0,2,1,3,139000
1276,12936,1972,723,735,660,0,2,1,3,162000
1282,8800,1977,1040,1040,0,0,2,0,3,150500
1284,9638,1919,804,1699,748,0,1,1,4,169000
1285,6000,1939,780,825,587,0,1,1,4,132500
1290,14112,1964,1152,1152,0,0,2,1,3,180500
1291,1680,1972,630,630,672,0,1,0,3,119500
1294,8172,1955,864,864,0,0,2,0,2,115000
1296,8700,1963,1120,1128,0,0,2,0,3,155000
1299,7500,1959,1246,1246,0,0,1,0,3,154000
1301,7500,1942,771,753,741,0,1,2,3,177500
1308,12000,1948,924,1122,0,0,2,0,2,147000
1314,8190,1954,948,948,0,0,1,1,3,119000
1321,6627,1949,0,720,0,0,1,0,2,72500
1323,5330,1940,420,708,0,0,0,0,2,82500
1326,4270,1931,544,774,0,0,0,0,3,79000
1327,6600,1982,816,816,0,0,1,1,3,130500
1332,8877,1938,816,816,0,0,1,1,2,100000
1333,7200,1938,803,803,557,0,1,0,2,125500
1334,2368,1970,765,765,600,0,2,0,3,125000
1339,9560,1972,864,864,0,0,1,0,3,128500
1343,7558,1928,896,1172,741,0,2,1,3,177000
1351,9247,1962,858,858,858,0,2,1,4,171000
1352,6000,1937,698,786,390,0,2,0,2,134900
1355,10192,1968,570,1222,698,0,2,1,4,170000
1357,12537,1971,1078,1078,0,0,2,1,3,149900
1360,9842,1921,612,990,1611,0,2,0,4,189000
1367,2665,1977,757,925,550,0,1,1,4,127000
1370,5400,1920,840,840,534,0,1,0,2,105000
1371,9600,1955,992,1661,0,0,1,1,3,165500
1381,12925,1970,1205,2117,0,0,2,2,4,237500
1382,7200,1920,596,998,764,0,2,0,4,157000
1383,25339,1918,816,1416,0,0,2,0,3,112000
1385,5436,1922,796,796,358,0,1,0,3,125500
1387,8520,1916,714,1664,862,0,1,1,5,136000
1389,6000,1941,735,869,349,0,2,1,3,131000
1393,10800,1905,482,1221,691,0,2,1,3,163000
1397,6120,1920,939,939,574,0,1,0,4,137500
1399,6171,1925,976,1160,448,0,1,1,3,137450
1400,6000,1929,862,950,208,0,1,1,3,120000
1406,8445,1972,768,768,0,0,2,0,2,133000
1408,7740,1910,622,741,622,0,2,0,3,125500
1409,20544,1986,791,1236,857,0,2,1,3,215000
1411,9600,1950,856,1112,556,0,1,0,3,140000
1414,13053,1923,833,1053,795,0,2,1,4,207000
1416,11340,1885,777,1246,1044,0,2,0,4,122500
1420,11700,1968,708,708,708,0,2,1,3,179900
1425,10721,1959,1252,1252,0,0,2,0,3,142000
1427,10930,1945,913,1048,510,0,1,1,3,140000
1428,7200,1940,788,804,0,0,1,2,2,119000
1429,12546,1981,1440,1440,0,0,2,1,3,182900
1431,4928,1976,958,958,0,0,2,0,2,143750
1432,10800,1927,656,968,0,0,1,0,4,64500
1435,8400,1962,1319,1537,0,0,2,1,3,174000
1436,9000,1971,864,864,0,0,2,0,3,120500
1438,7407,1957,912,1236,0,0,2,0,2,149700
1439,11584,1979,539,1040,685,0,2,1,3,197000
1440,11526,1922,588,1423,748,0,2,1,3,191000
1443,8854,1916,952,952,0,0,1,1,2,121000
1446,26142,1962,1188,1188,0,0,1,0,3,157900
1448,11767,1910,560,796,550,0,1,0,2,112000
1449,1533,1970,630,630,0,0,0,0,1,92000
1456,13175,1978,1542,2073,0,0,2,2,3,210000
1458,9717,1950,1078,1078,0,0,1,0,2,142125
1459,9937,1965,1256,1256,0,0,1,0,3,147500
